Date,"Close Price"
"2018-02-01 00:00:00",9052.58
"2018-02-02 00:00:00",8827.63
"2018-02-03 00:00:00",9224.39
"2018-02-04 00:00:00",8186.65
"2018-02-05 00:00:00",6914.26
"2018-02-06 00:00:00",7700.39
"2018-02-07 00:00:00",7581.8
"2018-02-08 00:00:00",8237.24
"2018-02-09 00:00:00",8689.84
"2018-02-10 00:00:00",8556.61
"2018-02-11 00:00:00",8070.8
"2018-02-12 00:00:00",8891.21
"2018-02-13 00:00:00",8516.24
"2018-02-14 00:00:00",9477.84
"2018-02-15 00:00:00",10016.49
"2018-02-16 00:00:00",10178.71
"2018-02-17 00:00:00",11092.15
"2018-02-18 00:00:00",10396.63
"2018-02-19 00:00:00",11159.72
"2018-02-20 00:00:00",11228.24
"2018-02-21 00:00:00",10456.17
"2018-02-22 00:00:00",9830.43
"2018-02-23 00:00:00",10149.46
"2018-02-24 00:00:00",9682.38
"2018-02-25 00:00:00",9586.46
"2018-02-26 00:00:00",10313.08
"2018-02-27 00:00:00",10564.42
"2018-02-28 00:00:00",10309.64
"2018-03-01 00:00:00",10907.59
"2018-03-02 00:00:00",11019.52
"2018-03-03 00:00:00",11438.65
"2018-03-04 00:00:00",11479.73
"2018-03-05 00:00:00",11432.98
"2018-03-06 00:00:00",10709.53
"2018-03-07 00:00:00",9906.8
"2018-03-09 00:04:00",9344.37

"This data was produced from the CoinDesk price page."
http://www.coindesk.com/price/
